RT @EgyTweets RT @CandiCunningham: There are more pyramids in Peru than in Egypt #coolfacts	[u'http://en.wikipedia.org/wiki/Peru', u'http://en.wikipedia.org/wiki/Egypt']
RT @OptaJoe: 72 - Man Utd have won 72 of Premier League games with Wayne Rooney starting since Aug 2009 and just 47 without him. Hole.	[u'http://en.wikipedia.org/wiki/Wayne_Rooney']
RT @IMDb: Here's a clip of Francis Ford Coppola accepting the Irving Thalberg Award at the 2010 Governors Awards. http://imdb.to/dqpMXP	[u'http://en.wikipedia.org/wiki/Francis_Ford_Coppola']
RT @IMDb: Gus Van Sant and Kelsey Grammer are teaming up for 'Boss', an eight-episode drama series for Starz. http://imdb.to/bqK23n	[u'http://en.wikipedia.org/wiki/Gus_Van_Sant', u'http://en.wikipedia.org/wiki/Kelsey_Grammer', u'http://en.wikipedia.org/wiki/Starz_%28TV_channel%29']
RT @markmackinnon: Russia and five other countries won't attend Nobel Peace Prize ceremony for Liu Xiaobo. Barry Manilow and Jamiroquai  ...	[u'http://en.wikipedia.org/wiki/Russia', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Liu_Xiaobo', u'http://en.wikipedia.org/wiki/Barry_Manilow', u'http://en.wikipedia.org/wiki/Jamiroquai']
Military notes: Airman Jia Shen graduated from basic training at Lackland Air Force Base, San Antonio. http://bit.ly/cYsnmw	[u'http://en.wikipedia.org/wiki/Lackland_Air_Force_Base', u'http://en.wikipedia.org/wiki/San_Antonio']
RT @THR: Daniel Day-Lewis to Play Abraham Lincoln in Steven Spielberg Directed Biopic http://bit.ly/aonM7U	[u'http://en.wikipedia.org/wiki/Daniel_Day-Lewis', u'http://en.wikipedia.org/wiki/Abraham_Lincoln', u'http://en.wikipedia.org/wiki/Steven_Spielberg']
RT @TMZ: Paris Hilton continued paying off her debt to society by cleaning graffiti on the streets of Hollywood -- and wo... http://bit. ...	[u'http://en.wikipedia.org/wiki/Paris_Hilton', u'http://en.wikipedia.org/wiki/Hollywood']
Rigoberta Menchu winner of the Nobel Peace Prize Guatemala http://t.co/wXj9nCQ via @youtube	[u'http://en.wikipedia.org/wiki/Rigoberta_Mench%C3%BA', u'http://en.wikipedia.org/wiki/Nobel_Peace_Prize', u'http://en.wikipedia.org/wiki/Guatemala']
RT @IMDb: As expected, 'Harry Potter and the Deathly Hallows' leads the Friday #boxoffice, taking in an est. $61.2 million. http://imdb. ...	[u'http://en.wikipedia.org/wiki/Harry_Potter']
RT @FIFA_Newz: Twente fail to keep PSV pace - FC Twente slipped up in their attempts to keep pace with Eredivisie leaders PSV Eindh... h ...	[u'http://en.wikipedia.org/wiki/PSV_Eindhoven', u'http://en.wikipedia.org/wiki/FC_Twente', u'http://en.wikipedia.org/wiki/Eredivisie', u'http://en.wikipedia.org/wiki/PSV_Eindhoven']
BBC: Anne Hathaway to co-host Nobel peace prize concert http://is.gd/hvd61	[u'http://en.wikipedia.org/wiki/BBC', u'http://en.wikipedia.org/wiki/Anne_Hathaway', u'http://en.wikipedia.org/wiki/Nobel_Prize']
RT @ESPNsoccernet: Benitez urges united front ahead of Twente clash: Inter Milan boss Rafael Benitez has urged everyone at Inter Mi... h ...	[u'http://en.wikipedia.org/wiki/Rafael_Ben%C3%ADtez', u'http://en.wikipedia.org/wiki/FC_Twente', u'http://en.wikipedia.org/wiki/Inter_Milan', u'http://en.wikipedia.org/wiki/Rafael_Ben%C3%ADtez']
The famous 1984 Macintosh ad was directed by Ridley Scott, director of Alien and Gladiator.	[u'http://en.wikipedia.org/wiki/Ridley_Scott']
RT @ebertchicago: Klaus Kinski died in 1991, or so we are assured. http://j.mp/b5pPRr	[u'http://en.wikipedia.org/wiki/Klaus_Kinski']
RT @IMDb: Johnny Depp will star as Tonto in 'The Lone Ranger,' re-teaming with Gore Verbinski and Jerry Bruckheimer. http://imdb.to/fDyVGO	[u'http://en.wikipedia.org/wiki/Johnny_Depp', u'http://en.wikipedia.org/wiki/Gore_Verbinski', u'http://en.wikipedia.org/wiki/Jerry_Bruckheimer']
RT @FIFAWorldCupTM: Hyundai - Kia drives on as FIFA Partner until 2022 - FIFA is pleased to announce the extension of the partnership with .	[u'http://en.wikipedia.org/wiki/Hyundai', u'http://en.wikipedia.org/wiki/Kia_Motors', u'http://en.wikipedia.org/wiki/FIFA', u'http://en.wikipedia.org/wiki/FIFA']
I just met the owner of my company Harold Simmons in the elevator. The richest man in Dallas. He's on wikipedia: http://bit.ly/fiWX7M	[u'http://en.wikipedia.org/wiki/Harold_Simmons', u'http://en.wikipedia.org/wiki/Dallas']
RT @jimenaofficial: FoxSports Rangers vs Man U . Fox Sports+ Milan vs Twente . FoxSports HD Panathinaikos vs Barcelona . Links de partid ...	[u'http://en.wikipedia.org/wiki/Barcelona']
